cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cpu_sec,softirq_cpu_sec,k6_cpu_sec,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99,rs_scale,limit_scale,reserved_core_sec,pending_core_sec,reserved_avg_cores,n_samples
2,normal,200,200.0,0,0,75.2,794.1,12.12,0.0,16.5,21,0,1644.6,130.83,70.05,75.6,74.3,75.7,862.0,613.5,752.9,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48001,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 emailservice:3 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,2875.3,0.0,11.980,16
2,normal,250,242.8,3006,0,3464.6,5180.4,12.98,0.0,18.7,23,0,1993.2,156.25,85.29,3426.5,3426.4,3578.8,5011.6,5007.8,5635.1,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 emailservice:3 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,0,1717,58283,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:3 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,3078.5,0.0,12.827,16
2,frontemail,100,100.0,0,0,6.2,438.1,7.05,0.0,14.2,11,0,841.6,66.91,33.78,5.1,5.9,8.0,697.3,220.1,201.1,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1693.2,0.0,7.055,16
2,frontemail,150,150.0,0,0,8.0,505.3,8.6,0.0,17.4,14,0,1263.3,102.3,52.57,6.3,7.0,9.3,788.3,280.1,295.0,adservice:1 cartservice:2 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,36001,adservice:1 cartservice:2 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,2063.5,0.0,8.598,16
2,frontemail,200,200,0,0,10.8,564.2,12.12,0.0,16.5,18,0,1665.0,133.21,71.95,7.8,8.9,12.0,788.7,510.4,531.1,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48000,adservice:1 cartservice:2 checkoutservice:2 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,2902.8,0.0,12.095,16
2,frontemail,250,250.0,0,0,72.1,674.4,12.78,0.0,19.6,19,0,1932.7,146.88,88.36,59.6,70.1,85.1,741.8,546.0,817.7,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,60001,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,3072.5,0.0,12.802,16
2,frontcheckout,100,100,0,0,6.2,469.6,5.98,0.0,16.7,11,0,836.2,65.28,32.96,5.1,5.8,8.0,716.2,285.2,233.8,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1434.7,0.0,5.978,16
2,frontcheckout,150,150.0,0,0,8.1,579.0,8.04,0.0,18.7,13,0,1218.9,92.88,52.61,6.2,6.9,9.2,777.1,491.9,406.2,adservice:1 cartservice:1 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,36001,adservice:1 cartservice:2 currencyservice:1 emailservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,1979.5,0.0,8.248,16
2,frontcheckout,200,200,0,0,10.6,522.7,12.12,0.0,16.5,18,0,1575.2,125.23,70.6,7.7,8.8,11.8,766.4,400.0,433.4,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48000,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,2907.6,0.0,12.115,16
2,frontcheckout,250,245.6,3610,0,3972.9,6057.4,12.98,0.0,18.9,20,0,1965.7,154.27,88.53,3919.3,3863.0,4104.5,5808.2,5831.0,6607.9,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,0,1064,58936,adservice:1 cartservice:2 currencyservice:2 emailservice:3 frontend:3 paymentservice:2 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,3035.0,0.0,12.646,16
2,checkoutemail,100,100.0,0,0,6.2,463.1,6.3,0.0,15.9,11,0,832.7,66.24,33.33,5.1,5.8,8.0,703.2,211.1,222.1,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0,1,0,1511.8,0.0,6.299,16
2,checkoutemail,150,150.0,0,0,8.1,656.3,8.6,0.0,17.4,14,0,1233.2,94.17,49.23,6.3,7.0,9.3,723.5,477.9,705.7,adservice:1 cartservice:2 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,36001,adservice:1 cartservice:1 checkoutservice:2 currencyservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,1987.9,0.0,8.283,16
2,checkoutemail,200,200.0,0,0,16.5,557.3,12.12,0.0,16.5,18,0,1607.8,128.02,70.98,14.9,15.5,18.8,731.5,387.4,418.3,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,48001,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,2907.6,0.0,12.115,16
2,checkoutemail,250,243.8,2952,0,3218.2,5100.3,12.98,0.0,18.8,20,0,1918.8,152.31,83.67,3181.9,3171.3,3268.0,4861.0,4963.3,5397.9,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:2 redis-cart:1 shippingservice:1,0,1479,58521,adservice:1 cartservice:2 checkoutservice:3 currencyservice:2 frontend:3 paymentservice:2 productcatalogservice:3 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0,1,0,3114.5,0.0,12.977,16
