cycle,arm,target_rate,limit_x,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,frontcatalog,250,0,92,cartservice,server,64,3,3,3,0
1,frontcatalog,250,0,92,checkoutservice,checkout,61,3,3,3,0
1,frontcatalog,250,0,92,currencyservice,server,60,3,3,3,0
1,frontcatalog,250,0,92,emailservice,email,73,3,3,3,0
1,frontcatalog,250,0,92,frontend,productcatalog,54,3,3,3,0
1,frontcatalog,250,0,92,frontend,server,59,3,3,3,0
1,frontcatalog,250,0,92,paymentservice,payment,54,4,4,4,0
1,frontcatalog,250,0,92,recommendationservice,server,63,3,3,3,0
1,frontcatalog,250,0,92,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,92,shippingservice,server,64,3,3,3,0
1,frontcatalog,250,0,107,adservice,server,100,8,8,8,0
1,frontcatalog,250,0,107,cartservice,server,72,3,3,3,0
1,frontcatalog,250,0,107,checkoutservice,checkout,63,3,3,3,0
1,frontcatalog,250,0,107,currencyservice,server,66,3,3,3,0
1,frontcatalog,250,0,107,emailservice,email,74,3,3,3,0
1,frontcatalog,250,0,107,frontend,productcatalog,57,3,3,3,0
1,frontcatalog,250,0,107,frontend,server,60,3,3,3,0
1,frontcatalog,250,0,107,paymentservice,payment,53,4,4,4,0
1,frontcatalog,250,0,107,recommendationservice,server,69,3,3,3,0
1,frontcatalog,250,0,107,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,107,shippingservice,server,63,3,3,3,0
1,frontcatalog,250,0,123,adservice,server,25,8,8,8,0
1,frontcatalog,250,0,123,cartservice,server,66,3,3,3,0
1,frontcatalog,250,0,123,checkoutservice,checkout,65,3,3,3,0
1,frontcatalog,250,0,123,currencyservice,server,68,3,3,3,0
1,frontcatalog,250,0,123,emailservice,email,73,3,3,3,0
1,frontcatalog,250,0,123,frontend,productcatalog,59,3,3,3,0
1,frontcatalog,250,0,123,frontend,server,63,3,3,3,0
1,frontcatalog,250,0,123,paymentservice,payment,52,4,4,4,0
1,frontcatalog,250,0,123,recommendationservice,server,65,3,3,3,0
1,frontcatalog,250,0,123,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,123,shippingservice,server,62,3,3,3,0
1,frontcatalog,250,0,138,adservice,server,28,8,8,8,0
1,frontcatalog,250,0,138,cartservice,server,71,3,3,3,0
1,frontcatalog,250,0,138,checkoutservice,checkout,62,3,3,3,0
1,frontcatalog,250,0,138,currencyservice,server,68,3,3,3,0
1,frontcatalog,250,0,138,emailservice,email,77,3,3,3,0
1,frontcatalog,250,0,138,frontend,productcatalog,57,3,3,3,0
1,frontcatalog,250,0,138,frontend,server,64,3,3,3,0
1,frontcatalog,250,0,138,paymentservice,payment,54,4,4,4,0
1,frontcatalog,250,0,138,recommendationservice,server,70,3,3,3,0
1,frontcatalog,250,0,138,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,138,shippingservice,server,65,3,3,3,0
1,frontcatalog,250,0,153,adservice,server,27,8,8,8,0
1,frontcatalog,250,0,153,cartservice,server,66,3,3,3,0
1,frontcatalog,250,0,153,checkoutservice,checkout,63,3,3,3,0
1,frontcatalog,250,0,153,currencyservice,server,68,3,3,3,0
1,frontcatalog,250,0,153,emailservice,email,75,3,3,3,0
1,frontcatalog,250,0,153,frontend,productcatalog,59,3,3,3,0
1,frontcatalog,250,0,153,frontend,server,64,3,3,3,0
1,frontcatalog,250,0,153,paymentservice,payment,54,4,4,4,0
1,frontcatalog,250,0,153,recommendationservice,server,66,3,3,3,0
1,frontcatalog,250,0,153,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,153,shippingservice,server,63,3,3,3,0
1,frontcatalog,250,0,169,adservice,server,29,8,4,4,0
1,frontcatalog,250,0,169,cartservice,server,67,3,3,3,0
1,frontcatalog,250,0,169,checkoutservice,checkout,67,3,3,3,0
1,frontcatalog,250,0,169,currencyservice,server,67,3,3,3,0
1,frontcatalog,250,0,169,emailservice,email,78,3,3,3,0
1,frontcatalog,250,0,169,frontend,productcatalog,57,3,3,3,0
1,frontcatalog,250,0,169,frontend,server,62,3,3,3,0
1,frontcatalog,250,0,169,paymentservice,payment,55,4,4,4,0
1,frontcatalog,250,0,169,recommendationservice,server,68,3,3,3,0
1,frontcatalog,250,0,169,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,169,shippingservice,server,68,3,3,3,0
1,frontcatalog,250,0,184,adservice,server,48,4,4,4,0
1,frontcatalog,250,0,184,cartservice,server,74,3,3,3,0
1,frontcatalog,250,0,184,checkoutservice,checkout,67,3,3,3,0
1,frontcatalog,250,0,184,currencyservice,server,68,3,3,3,0
1,frontcatalog,250,0,184,emailservice,email,72,3,3,3,0
1,frontcatalog,250,0,184,frontend,productcatalog,59,3,3,3,0
1,frontcatalog,250,0,184,frontend,server,65,3,3,3,0
1,frontcatalog,250,0,184,paymentservice,payment,59,4,4,4,0
1,frontcatalog,250,0,184,recommendationservice,server,65,3,3,3,0
1,frontcatalog,250,0,184,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,184,shippingservice,server,66,3,3,3,0
1,frontcatalog,250,0,199,adservice,server,49,4,4,4,0
1,frontcatalog,250,0,199,cartservice,server,71,3,3,3,0
1,frontcatalog,250,0,199,checkoutservice,checkout,63,3,3,3,0
1,frontcatalog,250,0,199,currencyservice,server,67,3,3,3,0
1,frontcatalog,250,0,199,emailservice,email,78,3,3,3,0
1,frontcatalog,250,0,199,frontend,productcatalog,59,3,3,3,0
1,frontcatalog,250,0,199,frontend,server,63,3,3,3,0
1,frontcatalog,250,0,199,paymentservice,payment,55,4,4,4,0
1,frontcatalog,250,0,199,recommendationservice,server,70,3,3,3,0
1,frontcatalog,250,0,199,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,199,shippingservice,server,65,3,3,3,0
1,frontcatalog,250,0,215,adservice,server,43,4,4,4,0
1,frontcatalog,250,0,215,cartservice,server,73,3,3,3,0
1,frontcatalog,250,0,215,checkoutservice,checkout,66,3,3,3,0
1,frontcatalog,250,0,215,currencyservice,server,67,3,3,3,0
1,frontcatalog,250,0,215,emailservice,email,76,3,3,3,0
1,frontcatalog,250,0,215,frontend,productcatalog,59,3,3,3,0
1,frontcatalog,250,0,215,frontend,server,63,3,3,3,0
1,frontcatalog,250,0,215,paymentservice,payment,51,4,4,4,0
1,frontcatalog,250,0,215,recommendationservice,server,67,3,3,3,0
1,frontcatalog,250,0,215,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,215,shippingservice,server,68,3,3,3,0
1,frontcatalog,250,0,230,adservice,server,44,4,3,3,0
1,frontcatalog,250,0,230,cartservice,server,70,3,3,3,0
1,frontcatalog,250,0,230,checkoutservice,checkout,63,3,3,3,0
1,frontcatalog,250,0,230,currencyservice,server,68,3,3,3,0
1,frontcatalog,250,0,230,emailservice,email,76,3,3,3,0
1,frontcatalog,250,0,230,frontend,productcatalog,59,3,3,3,0
1,frontcatalog,250,0,230,frontend,server,65,3,3,3,0
1,frontcatalog,250,0,230,paymentservice,payment,58,4,4,4,0
1,frontcatalog,250,0,230,recommendationservice,server,64,3,3,3,0
1,frontcatalog,250,0,230,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,230,shippingservice,server,65,3,3,3,0
1,frontcatalog,250,0,245,adservice,server,58,3,3,3,0
1,frontcatalog,250,0,245,cartservice,server,72,3,3,3,0
1,frontcatalog,250,0,245,checkoutservice,checkout,65,3,3,3,0
1,frontcatalog,250,0,245,currencyservice,server,67,3,3,3,0
1,frontcatalog,250,0,245,emailservice,email,80,3,3,3,0
1,frontcatalog,250,0,245,frontend,productcatalog,56,3,3,3,0
1,frontcatalog,250,0,245,frontend,server,62,3,3,3,0
1,frontcatalog,250,0,245,paymentservice,payment,61,4,4,4,0
1,frontcatalog,250,0,245,recommendationservice,server,66,3,3,3,0
1,frontcatalog,250,0,245,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,245,shippingservice,server,67,3,3,3,0
1,frontcatalog,250,0,261,adservice,server,59,3,3,3,0
1,frontcatalog,250,0,261,cartservice,server,79,3,3,3,0
1,frontcatalog,250,0,261,checkoutservice,checkout,69,3,3,3,0
1,frontcatalog,250,0,261,currencyservice,server,71,3,3,3,0
1,frontcatalog,250,0,261,emailservice,email,79,3,4,3,0
1,frontcatalog,250,0,261,frontend,productcatalog,61,3,3,3,0
1,frontcatalog,250,0,261,frontend,server,67,3,3,3,0
1,frontcatalog,250,0,261,paymentservice,payment,55,4,4,4,0
1,frontcatalog,250,0,261,recommendationservice,server,73,3,3,3,0
1,frontcatalog,250,0,261,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,261,shippingservice,server,67,3,3,3,0
1,frontcatalog,250,0,276,adservice,server,62,3,3,3,0
1,frontcatalog,250,0,276,cartservice,server,72,3,3,3,0
1,frontcatalog,250,0,276,checkoutservice,checkout,63,3,3,3,0
1,frontcatalog,250,0,276,currencyservice,server,68,3,3,3,0
1,frontcatalog,250,0,276,emailservice,email,76,4,4,4,0
1,frontcatalog,250,0,276,frontend,productcatalog,58,3,3,3,0
1,frontcatalog,250,0,276,frontend,server,63,3,3,3,0
1,frontcatalog,250,0,276,paymentservice,payment,54,4,4,4,0
1,frontcatalog,250,0,276,recommendationservice,server,65,3,3,3,0
1,frontcatalog,250,0,276,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,276,shippingservice,server,64,3,3,3,0
1,frontcatalog,250,0,291,adservice,server,56,3,3,3,0
1,frontcatalog,250,0,291,cartservice,server,70,3,3,3,0
1,frontcatalog,250,0,291,checkoutservice,checkout,65,3,3,3,0
1,frontcatalog,250,0,291,currencyservice,server,64,3,3,3,0
1,frontcatalog,250,0,291,emailservice,email,77,4,4,4,0
1,frontcatalog,250,0,291,frontend,productcatalog,57,3,3,3,0
1,frontcatalog,250,0,291,frontend,server,63,3,3,3,0
1,frontcatalog,250,0,291,paymentservice,payment,57,4,4,4,0
1,frontcatalog,250,0,291,recommendationservice,server,67,3,3,3,0
1,frontcatalog,250,0,291,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,291,shippingservice,server,67,3,3,3,0
1,frontcatalog,250,0,306,adservice,server,62,3,3,3,0
1,frontcatalog,250,0,306,cartservice,server,70,3,3,3,0
1,frontcatalog,250,0,306,checkoutservice,checkout,66,3,3,3,0
1,frontcatalog,250,0,306,currencyservice,server,69,3,3,3,0
1,frontcatalog,250,0,306,emailservice,email,57,4,4,4,0
1,frontcatalog,250,0,306,frontend,productcatalog,59,3,3,3,0
1,frontcatalog,250,0,306,frontend,server,64,3,3,3,0
1,frontcatalog,250,0,306,paymentservice,payment,57,4,4,4,0
1,frontcatalog,250,0,306,recommendationservice,server,67,3,3,3,0
1,frontcatalog,250,0,306,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,306,shippingservice,server,65,3,3,3,0
1,frontcatalog,250,0,322,adservice,server,55,3,3,3,0
1,frontcatalog,250,0,322,cartservice,server,73,3,3,3,0
1,frontcatalog,250,0,322,checkoutservice,checkout,66,3,3,3,0
1,frontcatalog,250,0,322,currencyservice,server,67,3,3,3,0
1,frontcatalog,250,0,322,emailservice,email,59,4,4,4,0
1,frontcatalog,250,0,322,frontend,productcatalog,58,3,3,3,0
1,frontcatalog,250,0,322,frontend,server,60,3,3,3,0
1,frontcatalog,250,0,322,paymentservice,payment,58,4,4,4,0
1,frontcatalog,250,0,322,recommendationservice,server,72,3,3,3,0
1,frontcatalog,250,0,322,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,322,shippingservice,server,66,3,3,3,0
1,frontcatalog,250,0,337,adservice,server,54,3,3,3,0
1,frontcatalog,250,0,337,cartservice,server,71,3,3,3,0
1,frontcatalog,250,0,337,checkoutservice,checkout,64,3,3,3,0
1,frontcatalog,250,0,337,currencyservice,server,66,3,3,3,0
1,frontcatalog,250,0,337,emailservice,email,57,4,4,4,0
1,frontcatalog,250,0,337,frontend,productcatalog,57,3,3,3,0
1,frontcatalog,250,0,337,frontend,server,63,3,3,3,0
1,frontcatalog,250,0,337,paymentservice,payment,55,4,4,4,0
1,frontcatalog,250,0,337,recommendationservice,server,65,3,3,3,0
1,frontcatalog,250,0,337,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,337,shippingservice,server,66,3,3,3,0
1,frontcatalog,250,0,352,adservice,server,58,3,3,3,0
1,frontcatalog,250,0,352,cartservice,server,76,3,3,3,0
1,frontcatalog,250,0,352,checkoutservice,checkout,66,3,3,3,0
1,frontcatalog,250,0,352,currencyservice,server,69,3,3,3,0
1,frontcatalog,250,0,352,emailservice,email,57,4,4,4,0
1,frontcatalog,250,0,352,frontend,productcatalog,58,3,3,3,0
1,frontcatalog,250,0,352,frontend,server,63,3,3,3,0
1,frontcatalog,250,0,352,paymentservice,payment,57,4,4,4,0
1,frontcatalog,250,0,352,recommendationservice,server,67,3,3,3,0
1,frontcatalog,250,0,352,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,352,shippingservice,server,69,3,3,3,0
1,frontcatalog,250,0,368,adservice,server,55,3,3,3,0
1,frontcatalog,250,0,368,cartservice,server,70,3,3,3,0
1,frontcatalog,250,0,368,checkoutservice,checkout,67,3,3,3,0
1,frontcatalog,250,0,368,currencyservice,server,69,3,3,3,0
1,frontcatalog,250,0,368,emailservice,email,56,4,4,4,0
1,frontcatalog,250,0,368,frontend,productcatalog,57,3,3,3,0
1,frontcatalog,250,0,368,frontend,server,63,3,3,3,0
1,frontcatalog,250,0,368,paymentservice,payment,53,4,4,4,0
1,frontcatalog,250,0,368,recommendationservice,server,67,3,3,3,0
1,frontcatalog,250,0,368,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,368,shippingservice,server,62,3,3,3,0
1,frontcatalog,250,0,383,adservice,server,54,3,3,3,0
1,frontcatalog,250,0,383,cartservice,server,70,3,3,3,0
1,frontcatalog,250,0,383,checkoutservice,checkout,61,3,3,3,0
1,frontcatalog,250,0,383,currencyservice,server,67,3,3,3,0
1,frontcatalog,250,0,383,emailservice,email,60,4,4,4,0
1,frontcatalog,250,0,383,frontend,productcatalog,56,3,3,3,0
1,frontcatalog,250,0,383,frontend,server,62,3,3,3,0
1,frontcatalog,250,0,383,paymentservice,payment,54,4,4,4,0
1,frontcatalog,250,0,383,recommendationservice,server,64,3,3,3,0
1,frontcatalog,250,0,383,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,383,shippingservice,server,67,3,3,3,0
1,frontcatalog,250,0,398,adservice,server,54,3,3,3,0
1,frontcatalog,250,0,398,cartservice,server,78,3,3,3,0
1,frontcatalog,250,0,398,checkoutservice,checkout,68,3,3,3,0
1,frontcatalog,250,0,398,currencyservice,server,70,3,3,3,0
1,frontcatalog,250,0,398,emailservice,email,57,4,4,4,0
1,frontcatalog,250,0,398,frontend,productcatalog,60,3,3,3,0
1,frontcatalog,250,0,398,frontend,server,63,3,3,3,0
1,frontcatalog,250,0,398,paymentservice,payment,56,4,4,4,0
1,frontcatalog,250,0,398,recommendationservice,server,68,3,3,3,0
1,frontcatalog,250,0,398,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,398,shippingservice,server,69,3,3,3,0
1,frontcatalog,250,0,414,adservice,server,56,3,3,3,0
1,frontcatalog,250,0,414,cartservice,server,75,3,3,3,0
1,frontcatalog,250,0,414,checkoutservice,checkout,67,3,3,3,0
1,frontcatalog,250,0,414,currencyservice,server,71,3,3,3,0
1,frontcatalog,250,0,414,emailservice,email,59,4,4,4,0
1,frontcatalog,250,0,414,frontend,productcatalog,59,3,3,3,0
1,frontcatalog,250,0,414,frontend,server,66,3,3,3,0
1,frontcatalog,250,0,414,paymentservice,payment,61,4,4,4,0
1,frontcatalog,250,0,414,recommendationservice,server,67,3,3,3,0
1,frontcatalog,250,0,414,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,414,shippingservice,server,69,3,3,3,0
1,frontcatalog,250,0,429,adservice,server,57,3,3,3,0
1,frontcatalog,250,0,429,cartservice,server,83,3,3,3,0
1,frontcatalog,250,0,429,checkoutservice,checkout,68,3,3,3,0
1,frontcatalog,250,0,429,currencyservice,server,72,3,3,3,0
1,frontcatalog,250,0,429,emailservice,email,60,4,4,4,0
1,frontcatalog,250,0,429,frontend,productcatalog,61,3,3,3,0
1,frontcatalog,250,0,429,frontend,server,65,3,3,3,0
1,frontcatalog,250,0,429,paymentservice,payment,58,4,4,4,0
1,frontcatalog,250,0,429,recommendationservice,server,71,3,3,3,0
1,frontcatalog,250,0,429,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,429,shippingservice,server,68,3,3,3,0
1,frontcatalog,250,0,444,adservice,server,53,3,3,3,0
1,frontcatalog,250,0,444,cartservice,server,73,3,3,3,0
1,frontcatalog,250,0,444,checkoutservice,checkout,64,3,3,3,0
1,frontcatalog,250,0,444,currencyservice,server,66,3,3,3,0
1,frontcatalog,250,0,444,emailservice,email,55,4,4,4,0
1,frontcatalog,250,0,444,frontend,productcatalog,54,3,3,3,0
1,frontcatalog,250,0,444,frontend,server,63,3,3,3,0
1,frontcatalog,250,0,444,paymentservice,payment,55,4,4,4,0
1,frontcatalog,250,0,444,recommendationservice,server,68,3,3,3,0
1,frontcatalog,250,0,444,redis-cart,-,,1,1,1,0
1,frontcatalog,250,0,444,shippingservice,server,65,3,3,3,0
2,frontcatalog,250,0,1,adservice,server,5,3,3,3,0
2,frontcatalog,250,0,1,cartservice,server,1,3,3,3,0
2,frontcatalog,250,0,1,checkoutservice,checkout,0,3,3,3,0
2,frontcatalog,250,0,1,currencyservice,server,0,3,3,3,0
2,frontcatalog,250,0,1,emailservice,email,2,3,3,3,0
2,frontcatalog,250,0,1,frontend,productcatalog,0,3,3,3,0
2,frontcatalog,250,0,1,frontend,server,0,3,3,3,0
2,frontcatalog,250,0,1,paymentservice,payment,1,3,3,3,0
2,frontcatalog,250,0,1,recommendationservice,-,,,0,3,0
2,frontcatalog,250,0,1,redis-cart,-,,1,1,1,0
2,frontcatalog,250,0,1,shippingservice,-,,,0,3,0
2,frontcatalog,250,0,16,adservice,server,94,3,3,3,0
2,frontcatalog,250,0,16,cartservice,server,1,3,3,3,0
2,frontcatalog,250,0,16,checkoutservice,checkout,0,3,3,3,0
2,frontcatalog,250,0,16,currencyservice,server,2,3,3,3,0
2,frontcatalog,250,0,16,emailservice,email,1,3,3,3,0
2,frontcatalog,250,0,16,frontend,productcatalog,0,3,3,3,0
2,frontcatalog,250,0,16,frontend,server,11,3,3,3,0
2,frontcatalog,250,0,16,paymentservice,payment,15,3,3,3,0
2,frontcatalog,250,0,16,recommendationservice,server,0,3,3,3,0
2,frontcatalog,250,0,16,redis-cart,-,,1,1,1,0
2,frontcatalog,250,0,16,shippingservice,server,0,3,3,3,0
2,frontcatalog,250,0,31,adservice,server,226,3,3,3,0
2,frontcatalog,250,0,31,cartservice,server,90,3,3,3,0
2,frontcatalog,250,0,31,checkoutservice,checkout,39,3,3,3,0
2,frontcatalog,250,0,31,currencyservice,server,70,3,3,3,0
2,frontcatalog,250,0,31,emailservice,email,46,3,3,3,0
2,frontcatalog,250,0,31,frontend,productcatalog,39,3,3,3,0
2,frontcatalog,250,0,31,frontend,server,56,3,3,3,0
2,frontcatalog,250,0,31,paymentservice,payment,48,3,3,3,0
2,frontcatalog,250,0,31,recommendationservice,server,51,3,3,3,0
2,frontcatalog,250,0,31,redis-cart,-,,1,1,1,0
2,frontcatalog,250,0,31,shippingservice,server,59,3,3,3,0
2,frontcatalog,250,0,47,adservice,server,315,3,7,3,0
2,frontcatalog,250,0,47,cartservice,server,76,3,3,3,0
2,frontcatalog,250,0,47,checkoutservice,checkout,63,3,3,3,0
2,frontcatalog,250,0,47,currencyservice,server,68,3,3,3,0
2,frontcatalog,250,0,47,emailservice,email,46,3,3,3,0
2,frontcatalog,250,0,47,frontend,productcatalog,49,3,3,3,0
2,frontcatalog,250,0,47,frontend,server,58,3,3,3,0
2,frontcatalog,250,0,47,paymentservice,payment,95,3,3,3,0
2,frontcatalog,250,0,47,recommendationservice,server,62,3,3,3,0
2,frontcatalog,250,0,47,redis-cart,-,,1,1,1,0
2,frontcatalog,250,0,47,shippingservice,server,62,3,3,3,0
2,frontcatalog,250,0,62,adservice,server,178,7,7,3,0
2,frontcatalog,250,0,62,cartservice,server,78,3,3,3,0
2,frontcatalog,250,0,62,checkoutservice,checkout,61,3,3,3,0
2,frontcatalog,250,0,62,currencyservice,server,61,3,3,3,0
2,frontcatalog,250,0,62,emailservice,email,70,3,3,3,0
2,frontcatalog,250,0,62,frontend,productcatalog,53,3,3,3,0
2,frontcatalog,250,0,62,frontend,server,58,3,3,3,0
2,frontcatalog,250,0,62,paymentservice,payment,75,3,3,3,0
2,frontcatalog,250,0,62,recommendationservice,server,63,3,3,3,0
2,frontcatalog,250,0,62,redis-cart,-,,1,1,1,0
2,frontcatalog,250,0,62,shippingservice,server,62,3,3,3,0
2,frontcatalog,250,0,77,adservice,server,123,7,7,6,0
2,frontcatalog,250,0,77,cartservice,server,78,3,4,3,0
2,frontcatalog,250,0,77,checkoutservice,checkout,67,3,3,3,0
2,frontcatalog,250,0,77,currencyservice,server,73,3,3,3,0
2,frontcatalog,250,0,77,emailservice,email,75,3,3,3,0
2,frontcatalog,250,0,77,frontend,productcatalog,57,3,3,3,0
2,frontcatalog,250,0,77,frontend,server,63,3,3,3,0
2,frontcatalog,250,0,77,paymentservice,payment,83,3,3,3,0
2,frontcatalog,250,0,77,recommendationservice,server,63,3,3,3,0
2,frontcatalog,250,0,77,redis-cart,-,,1,1,1,0
2,frontcatalog,250,0,77,shippingservice,server,69,3,3,3,0
2,frontcatalog,250,0,93,adservice,server,139,7,7,7,0
2,frontcatalog,250,0,93,cartservice,server,73,4,4,3,0
2,frontcatalog,250,0,93,checkoutservice,checkout,65,3,3,3,0
2,frontcatalog,250,0,93,currencyservice,server,72,3,3,3,0
2,frontcatalog,250,0,93,emailservice,email,73,3,3,3,0
2,frontcatalog,250,0,93,frontend,productcatalog,59,3,3,3,0
2,frontcatalog,250,0,93,frontend,server,63,3,3,3,0
2,frontcatalog,250,0,93,paymentservice,payment,83,3,4,3,0
2,frontcatalog,250,0,93,recommendationservice,server,70,3,3,3,0
2,frontcatalog,250,0,93,redis-cart,-,,1,1,1,0
2,frontcatalog,250,0,93,shippingservice,server,65,3,3,3,0
2,frontcatalog,250,0,108,adservice,server,100,7,7,7,0
2,frontcatalog,250,0,108,cartservice,server,66,4,4,4,0
2,frontcatalog,250,0,108,checkoutservice,checkout,64,3,3,3,0
2,frontcatalog,250,0,108,currencyservice,server,68,3,3,3,0
2,frontcatalog,250,0,108,emailservice,email,73,3,3,3,0
2,frontcatalog,250,0,108,frontend,productcatalog,57,3,3,3,0
2,frontcatalog,250,0,108,frontend,server,65,3,3,3,0
2,frontcatalog,250,0,108,paymentservice,payment,73,4,4,4,0
2,frontcatalog,250,0,108,recommendationservice,server,70,3,3,3,0
2,frontcatalog,250,0,108,redis-cart,-,,1,1,1,0
2,frontcatalog,250,0,108,shippingservice,server,64,3,3,3,0
2,frontcatalog,250,0,123,adservice,server,43,7,7,7,0
2,frontcatalog,250,0,123,cartservice,server,73,4,4,4,0
