cycle,arm,target_rate,t_rel,deploy,container,hpa_util_pct,current_replicas,desired_replicas,ready_replicas,pending_pods
1,frontcatalog,250,230,adservice,server,52,3,3,3,0
1,frontcatalog,250,230,cartservice,server,58,4,4,4,0
1,frontcatalog,250,230,checkoutservice,checkout,72,3,3,3,0
1,frontcatalog,250,230,currencyservice,server,71,3,3,3,0
1,frontcatalog,250,230,emailservice,email,59,4,4,4,0
1,frontcatalog,250,230,frontend,productcatalog,57,3,3,3,0
1,frontcatalog,250,230,frontend,server,63,3,3,3,0
1,frontcatalog,250,230,paymentservice,payment,53,4,4,4,0
1,frontcatalog,250,230,recommendationservice,server,68,3,3,3,0
1,frontcatalog,250,230,redis-cart,-,,1,1,1,0
1,frontcatalog,250,230,shippingservice,server,66,3,3,3,0
1,frontcatalog,250,246,adservice,server,55,3,3,3,0
1,frontcatalog,250,246,cartservice,server,63,4,4,4,0
1,frontcatalog,250,246,checkoutservice,checkout,67,3,3,3,0
1,frontcatalog,250,246,currencyservice,server,70,3,3,3,0
1,frontcatalog,250,246,emailservice,email,57,4,4,4,0
1,frontcatalog,250,246,frontend,productcatalog,57,3,3,3,0
1,frontcatalog,250,246,frontend,server,63,3,3,3,0
1,frontcatalog,250,246,paymentservice,payment,58,4,4,4,0
1,frontcatalog,250,246,recommendationservice,server,68,3,3,3,0
1,frontcatalog,250,246,redis-cart,-,,1,1,1,0
1,frontcatalog,250,246,shippingservice,server,70,3,3,3,0
1,frontcatalog,250,261,adservice,server,55,3,3,3,0
1,frontcatalog,250,261,cartservice,server,64,4,4,4,0
1,frontcatalog,250,261,checkoutservice,checkout,70,3,3,3,0
1,frontcatalog,250,261,currencyservice,server,71,3,3,3,0
1,frontcatalog,250,261,emailservice,email,61,4,4,4,0
1,frontcatalog,250,261,frontend,productcatalog,58,3,3,3,0
1,frontcatalog,250,261,frontend,server,62,3,3,3,0
1,frontcatalog,250,261,paymentservice,payment,58,4,4,4,0
1,frontcatalog,250,261,recommendationservice,server,67,3,3,3,0
1,frontcatalog,250,261,redis-cart,-,,1,1,1,0
1,frontcatalog,250,261,shippingservice,server,67,3,3,3,0
