cycle,arm,target_rate,iter_rate,dropped,failed_rate,p50,p99,running_cores,pending_cores,eff_iter_per_running_core,pods,pending,node_cores,softirq_mc_per_iter,k6_cores,tcp_retrans_s,prod_p50,cart_p50,chk_p50,prod_p99,cart_p99,chk_p99,throttled,replicas,limit_x,dropped_win,started,replicas_at_window_start,replicas_changed_in_window,browse_rate_target,browse_rate,browse_dropped_win,browse_p50,browse_p99
2,normal,100,100.0,0,0,6.2,436.1,6.12,0.0,16.3,12,0,3.4975,2.72,0.14,0.0,5.1,5.9,8.1,710.8,234.5,193.7,frontend/server=5%;cartservice/server=1%;productcatalogservice/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0
2,normal,100,100.0,0,0,7.1,498.2,8.6,0.0,11.6,15,0,4.2374,3.24,0.19,0.0,6.3,6.2,8.7,749.3,387.5,294.3,frontend/server=11%;productcatalogservice/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,100,100.0,0,6.3,748.8
2,normal,100,100.0,126,0,123.0,866.6,9.4,0.0,10.6,16,0,5.9471,4.8,0.25,0.0,132.2,121.6,115.2,882.3,814.6,985.4,productcatalogservice/server=46%;frontend/server=1%;frontend/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,yes,200,200.0,0,133.1,876.3
2,normal,100,98.1,3243,0,182.7,4533.7,11.88,0.0,8.3,19,0,7.5773,5.52,0.35,0.1,171.6,153.7,186.9,4571.2,4539.8,4459.2,productcatalogservice/server=91%;emailservice/email=1%;paymentservice/payment=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:3 recommendationservice:3 redis-cart:1 shippingservice:1,0,463,23537,adservice:1 cartservice:3 checkoutservice:1 currencyservice:2 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,yes,300,299.9,24,383.9,4590.3
2,frontcatalog,100,100.0,0,0,6.0,460.9,6.12,0.0,16.3,11,0,3.4034,2.29,0.14,0.0,5.0,5.8,8.0,748.1,225.4,206.2,frontend/server=5%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,yes,0,0,0,0,0
2,frontcatalog,100,100.0,0,0,7.2,562.3,8.6,0.0,11.6,13,0,4.193,2.72,0.19,0.0,6.2,6.2,8.6,763.3,379.0,304.4,frontend/server=15%;frontend/productcatalog=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,no,100,100.0,0,6.2,761.1
2,frontcatalog,100,100.0,0,0,8.1,574.7,8.6,0.0,11.6,13,0,5.1542,3.45,0.23,0.0,6.8,6.9,9.8,791.2,334.8,267.3,frontend/server=2%;frontend/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,no,200,200,0,6.5,792.8
2,frontcatalog,100,100.0,104,0,9.7,612.0,9.4,0.0,10.6,14,0,6.1544,4.18,0.28,0.0,8.1,8.1,12.1,833.3,461.3,385.6,frontend/server=3%;frontend/server=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 recommendationservice:2 redis-cart:1 shippingservice:1,no,300,300,0,7.5,837.5
2,frontreco,100,100.0,0,0,6.2,455.1,7.94,0.0,12.6,12,0,3.5307,2.7,0.14,0.0,5.1,5.9,8.1,690.3,249.2,206.6,frontend/server=5%;productcatalogservice/server=2%;cartservice/server=1%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 productcatalogservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:1 paymentservice:1 productcatalogservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0
2,frontreco,100,100.0,0,0,7.0,486.6,8.6,0.0,11.6,13,0,4.3135,3.18,0.18,0.0,6.3,6.2,8.7,771.1,419.3,311.3,frontend/server=13%;productcatalogservice/server=3%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,no,100,100,0,6.3,764.0
2,frontreco,100,100.0,877,0,9.8,4967.9,8.6,0.0,11.6,13,0,5.6361,4.29,0.25,0.1,7.4,8.0,11.3,4919.2,4923.2,5018.1,productcatalogservice/server=23%;emailservice/email=3%;frontend/server=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,5,23995,adservice:1 cartservice:2 checkoutservice:1 currencyservice:1 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:3 redis-cart:1 shippingservice:1,yes,200,200.0,6,7.1,4957.4
2,frontreco,100,100.0,93,0,8.2,514.2,9.4,0.0,10.6,14,0,6.2784,5.0,0.25,0.0,7.0,7.4,10.5,741.7,237.1,160.4,productcatalogservice/server=5%;emailservice/email=2%,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 cartservice:2 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 redis-cart:1 shippingservice:1,no,300,300.0,0,6.6,743.9
2,frontcart,100,100.0,0,0,6.2,379.7,7.2,0.0,13.9,11,0,3.5026,2.74,0.14,0.0,5.1,5.9,8.1,612.4,222.0,208.3,frontend/server=7%,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:1 recommendationservice:1 redis-cart:1 shippingservice:1,no,0,0,0,0,0
2,frontcart,100,100.0,0,0,7.3,681.8,8.6,0.0,11.6,13,0,4.2802,3.36,0.19,0.0,6.3,6.3,8.9,769.2,303.1,742.3,productcatalogservice/server=9%;frontend/server=4%;frontend/server=3%;emailservice/email=1%,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 checkoutservice:1 currencyservice:1 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,100,100.0,0,6.4,802.3
2,frontcart,100,100,0,0,9.4,683.6,9.4,0.0,10.6,14,0,5.678,4.39,0.26,0.0,6.7,7.5,11.3,733.9,503.4,823.1,productcatalogservice/server=31%;frontend/server=7%;frontend/server=6%,adservice:1 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,0,0,24000,adservice:1 checkoutservice:1 currencyservice:2 emailservice:1 frontend:2 paymentservice:1 productcatalogservice:2 recommendationservice:2 redis-cart:1 shippingservice:1,no,200,200.0,0,6.8,731.1
2,frontcart,100,100.0,514,0,9.4,680.4,11.58,0.0,8.6,16,0,6.3639,4.97,0.29,0.0,7.5,7.9,11.5,787.8,425.7,691.4,productcatalogservice/server=19%;frontend/server=5%;frontend/server=4%;emailservice/email=1%,adservice:1 checkoutservice:1 currencyservice:2 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:3 redis-cart:1 shippingservice:1,0,0,24001,adservice:1 checkoutservice:1 currencyservice:2 emailservice:1 frontend:3 paymentservice:1 productcatalogservice:2 recommendationservice:3 redis-cart:1 shippingservice:1,no,300,300.0,0,7.0,841.3
